Sheet,CUSTOMER_ID,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,PRODUCTCODE,PRODUCTLINE,MSRP,ORDERDATE,YEAR_ID,MONTH_ID,QTR_ID,STATUS_ID,STATUS,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,DEALSIZE
,38.0,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,,,,,,,,,,,,,,,
,39.0,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,,,,,,,,,,,,,,,
,40.0,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,,,,,,,,,,,,,,,
,41.0,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,,,,,,,,,,,,,,,
,42.0,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,,,,,,,,,,,,,,,
,43.0,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,,,,,,,,,,,,,,,
,44.0,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,,,,,,,,,,,,,,,
,45.0,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,,,,,,,,,,,,,,,
,46.0,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,,,,,,,,,,,,,,,
,47.0,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,,,,,,,,,,,,,,,
,48.0,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,,,,,,,,,,,,,,,
,49.0,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,,,,,,,,,,,,,,,
,50.0,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,,,,,,,,,,,,,,,
,51.0,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,,Tam,Wing C,,,,,,,,,,,,,,,
,52.0,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette,,,,,,,,,,,,,,,
,53.0,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,,,,,,,,,,,,,,,
,54.0,Enaco Distributors,(93) 203 4555,"Rambla de Catalu§a, 23",,Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo,,,,,,,,,,,,,,,
,55.0,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA,,Chandler,Michael,,,,,,,,,,,,,,,
,56.0,Collectable Mini Designs Co.,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,,Thompson,Valarie,,,,,,,,,,,,,,,
,57.0,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,,,,,,,,,,,,,,,
,58.0,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,,Lincoln,Elizabeth,,,,,,,,,,,,,,,
,59.0,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,,Yoshido,Juri,,,,,,,,,,,,,,,
,60.0,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,,,,,,,,,,,,,,,
,61.0,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,,,,,,,,,,,,,,,
,62.0,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,,,,,,,,,,,,,,,
,63.0,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie,,,,,,,,,,,,,,,
,64.0,Mini Auto Werke,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Roland,,,,,,,,,,,,,,,
,65.0,Diecast Collectables,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,,,,,,,,,,,,,,,
,66.0,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,,,,,,,,,,,,,,,
,67.0,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold,,,,,,,,,,,,,,,
,68.0,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Laurence,,,,,,,,,,,,,,,
,69.0,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,,,,,,,,,,,,,,,
,70.0,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,,,,,,,,,,,,,,,
,71.0,L'ordine Souveniers,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,,,,,,,,,,,,,,,
,72.0,Online Mini Collectables,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,,Barajas,Miguel,,,,,,,,,,,,,,,
,73.0,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,,,,,,,,,,,,,,,
,74.0,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,,,,,,,,,,,,,,,
,75.0,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,,,,,,,,,,,,,,,
,76.0,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,Cassidy,Dean,,,,,,,,,,,,,,,
,77.0,CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,EMEA,Fernandez,Jesus,,,,,,,,,,,,,,,
,78.0,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,,,,,,,,,,,,,,,
,79.0,Heintze Collectables,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,,,,,,,,,,,,,,,
,80.0,Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,,Kuo,Kee,,,,,,,,,,,,,,,
,81.0,Boards & Toys Co.,3105552373,4097 Douglas Av.,,Glendale,CA,92561,USA,,Young,Leslie,,,,,,,,,,,,,,,
,82.0,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,Roel,Jose Pedro,,,,,,,,,,,,,,,
,83.0,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA,,Taylor,Sue,,,,,,,,,,,,,,,
,84.0,Mini Caravy,88.60.1555,"24, place Kluber",,Strasbourg,,67000,France,EMEA,Citeaux,Frederique,,,,,,,,,,,,,,,
,85.0,Signal Gift Stores,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,,King,Sue,,,,,,,,,,,,,,,
,86.0,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,,,,,,,,,,,,,,,
,87.0,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,,,,,,,,,,,,,,,
,88.0,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,,,,,,,,,,,,,,,
,89.0,Gift Ideas Corp.,2035554407,2440 Pompton St.,,Glendale,CT,97561,USA,,Lewis,Dan,,,,,,,,,,,,,,,
,90.0,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,,Munich,,80686,Germany,EMEA,Donnermeyer,Michael,,,,,,,,,,,,,,,
,91.0,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium,EMEA,Cartrain,Pascale,,,,,,,,,,,,,,,
,92.0,Auto-Moto Classics Inc.,6175558428,16780 Pompton St.,,Brickhaven,MA,58339,USA,,Taylor,Leslie,,,,,,,,,,,,,,,
dim_product,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,S10_1678,Motorcycles,95.0,,,,,,,,,,,,
,,,,,,,,,,,,,S10_1949,Classic Cars,214.0,,,,,,,,,,,,
,,,,,,,,,,,,,S10_2016,Motorcycles,118.0,,,,,,,,,,,,
,,,,,,,,,,,,,S10_4698,Motorcycles,193.0,,,,,,,,,,,,
,,,,,,,,,,,,,S10_4757,Classic Cars,136.0,,,,,,,,,,,,
,,,,,,,,,,,,,S10_4962,Classic Cars,147.0,,,,,,,,,,,,
,,,,,,,,,,,,,S12_1099,Classic Cars,194.0,,,,,,,,,,,,
,,,,,,,,,,,,,S12_1108,Classic Cars,207.0,,,,,,,,,,,,
,,,,,,,,,,,,,S12_1666,Trucks and Buses,136.0,,,,,,,,,,,,
,,,,,,,,,,,,,S12_2823,Motorcycles,150.0,,,,,,,,,,,,
,,,,,,,,,,,,,S12_3148,Classic Cars,151.0,,,,,,,,,,,,
,,,,,,,,,,,,,S12_3380,Classic Cars,117.0,,,,,,,,,,,,
,,,,,,,,,,,,,S12_3891,Classic Cars,173.0,,,,,,,,,,,,
,,,,,,,,,,,,,S12_3990,Classic Cars,79.0,,,,,,,,,,,,
,,,,,,,,,,,,,S12_4473,Trucks and Buses,118.0,,,,,,,,,,,,
,,,,,,,,,,,,,S12_4675,Classic Cars,115.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_1097,Trucks and Buses,116.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_1129,Classic Cars,141.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_1342,Vintage Cars,102.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_1367,Vintage Cars,53.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_1589,Classic Cars,124.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_1662,Planes,157.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_1749,Vintage Cars,170.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_1889,Classic Cars,77.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_1984,Classic Cars,142.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2238,Classic Cars,163.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2248,Vintage Cars,60.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2319,Trucks and Buses,122.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2325,Vintage Cars,127.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2432,Trucks and Buses,60.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2581,Planes,84.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2625,Motorcycles,60.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2795,Vintage Cars,168.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2870,Classic Cars,132.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2949,Vintage Cars,101.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_2957,Vintage Cars,62.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3029,Ships,86.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3136,Vintage Cars,104.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3140,Vintage Cars,136.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3232,Classic Cars,169.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3259,Trains,100.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3278,Classic Cars,80.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3320,Vintage Cars,99.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3482,Classic Cars,146.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3685,Classic Cars,141.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3782,Motorcycles,62.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_3856,Vintage Cars,105.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_4027,Classic Cars,143.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_4409,Vintage Cars,92.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_4522,Vintage Cars,87.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_4600,Trucks and Buses,121.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_4668,Vintage Cars,50.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_4721,Classic Cars,148.0,,,,,,,,,,,,
,,,,,,,,,,,,,S18_4933,Classic Cars,71.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_1046,Classic Cars,73.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_1444,Classic Cars,57.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_1578,Motorcycles,112.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_1628,Classic Cars,50.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_1785,Planes,109.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_1937,Vintage Cars,33.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_2000,Motorcycles,76.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_2011,Ships,122.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_2022,Vintage Cars,44.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_2300,Trucks and Buses,127.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_2360,Motorcycles,69.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_2766,Classic Cars,90.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_2840,Classic Cars,35.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_2841,Planes,68.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_2887,Classic Cars,117.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_2972,Classic Cars,37.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_3151,Vintage Cars,88.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_3191,Classic Cars,85.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_3371,Classic Cars,61.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_3420,Vintage Cars,65.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_3432,Classic Cars,107.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_3816,Vintage Cars,83.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_3856,Classic Cars,140.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_3949,Planes,68.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_3969,Vintage Cars,41.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_4048,Classic Cars,118.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_4258,Vintage Cars,97.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_4278,Planes,72.0,,,,,,,,,,,,
,,,,,,,,,,,,,S24_4620,Classic Cars,80.0,,,,,,,,,,,,
,,,,,,,,,,,,,S32_1268,Trucks and Buses,96.0,,,,,,,,,,,,
,,,,,,,,,,,,,S32_1374,Motorcycles,99.0,,,,,,,,,,,,
,,,,,,,,,,,,,S32_2206,Motorcycles,40.0,,,,,,,,,,,,
,,,,,,,,,,,,,S32_2509,Trucks and Buses,54.0,,,,,,,,,,,,
,,,,,,,,,,,,,S32_3207,Trains,62.0,,,,,,,,,,,,
,,,,,,,,,,,,,S32_3522,Trucks and Buses,64.0,,,,,,,,,,,,
,,,,,,,,,,,,,S32_4289,Vintage Cars,68.0,,,,,,,,,,,,
,,,,,,,,,,,,,S32_4485,Motorcycles,102.0,,,,,,,,,,,,
,,,,,,,,,,,,,S50_1341,Vintage Cars,43.0,,,,,,,,,,,,
,,,,,,,,,,,,,S50_1392,Trucks and Buses,115.0,,,,,,,,,,,,
,,,,,,,,,,,,,S50_1514,Trains,58.0,,,,,,,,,,,,
,,,,,,,,,,,,,S50_4713,Motorcycles,81.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_1138,Ships,66.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_1691,Planes,91.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_1938,Ships,86.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_2047,Ships,90.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_2466,Planes,99.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_2610,Ships,72.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_2824,Classic Cars,101.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_2834,Planes,118.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_3167,Planes,80.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_3505,Ships,100.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_3962,Ships,99.0,,,,,,,,,,,,
,,,,,,,,,,,,,S700_4002,Planes,74.0,,,,,,,,,,,,
,,,,,,,,,,,,,S72_1253,Planes,49.0,,,,,,,,,,,,
,,,,,,,,,,,,,S72_3212,Ships,54.0,,,,,,,,,,,,
dim_time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2003-02-24,2003.0,2.0,1.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-05-07,2003.0,5.0,2.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-07-01,2003.0,7.0,3.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-08-25,2003.0,8.0,3.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-10-10,2003.0,10.0,4.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-10-28,2003.0,10.0,4.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-11-11,2003.0,11.0,4.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-11-18,2003.0,11.0,4.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-12-01,2003.0,12.0,4.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-01-15,2004.0,1.0,1.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-02-20,2004.0,2.0,1.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-04-05,2004.0,4.0,2.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-05-18,2004.0,5.0,2.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-06-28,2004.0,6.0,2.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-07-23,2004.0,7.0,3.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-08-27,2004.0,8.0,3.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-09-30,2004.0,9.0,3.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-10-15,2004.0,10.0,4.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-11-02,2004.0,11.0,4.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-11-15,2004.0,11.0,4.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-11-24,2004.0,11.0,4.0,,,,,,,,
,,,,,,,,,,,,,,,,2004-12-17,2004.0,12.0,4.0,,,,,,,,
,,,,,,,,,,,,,,,,2005-02-03,2005.0,2.0,1.0,,,,,,,,
,,,,,,,,,,,,,,,,2005-03-03,2005.0,3.0,1.0,,,,,,,,
,,,,,,,,,,,,,,,,2005-04-08,2005.0,4.0,2.0,,,,,,,,
,,,,,,,,,,,,,,,,2005-05-13,2005.0,5.0,2.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-01-29,2003.0,1.0,1.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-03-24,2003.0,3.0,1.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-05-28,2003.0,5.0,2.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-07-24,2003.0,7.0,3.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-09-19,2003.0,9.0,3.0,,,,,,,,
,,,,,,,,,,,,,,,,2003-10-20,2003.0,10.0,4.0,,,,,,,,
